I, [2017-06-18T16:11:05.694985 #41907]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-06-18T16:11:05.695277 #41907] ERROR -- Kitchen: ------Exception-------
E, [2017-06-18T16:11:05.695303 #41907] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-06-18T16:11:05.695318 #41907] ERROR -- Kitchen: Message: Kitchen YAML file /Users/jesusa/Development/personal/wizeline/chef_wordpress_challenge/.kitchen.yml does not exist.
E, [2017-06-18T16:11:05.695331 #41907] ERROR -- Kitchen: ----------------------
E, [2017-06-18T16:11:05.695342 #41907] ERROR -- Kitchen: ------Backtrace-------
E, [2017-06-18T16:11:05.695353 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-06-18T16:11:05.695364 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-06-18T16:11:05.695376 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-06-18T16:11:05.695387 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-06-18T16:11:05.695398 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-06-18T16:11:05.695409 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-06-18T16:11:05.695423 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-06-18T16:11:05.695434 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-06-18T16:11:05.695444 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-06-18T16:11:05.695455 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-06-18T16:11:05.695466 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-06-18T16:11:05.695476 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-06-18T16:11:05.695487 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-06-18T16:11:05.695498 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-06-18T16:11:05.695508 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-06-18T16:11:05.695519 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-06-18T16:11:05.695533 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-06-18T16:11:05.695544 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-06-18T16:11:05.695554 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-06-18T16:11:05.695565 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-06-18T16:11:05.695575 #41907] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-06-18T16:11:05.695586 #41907] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `load'
E, [2017-06-18T16:11:05.695596 #41907] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `<main>'
E, [2017-06-18T16:11:05.695616 #41907] ERROR -- Kitchen: ----End Backtrace-----
